id,fold
https://openalex.org/W2126189390,2
https://openalex.org/W2017993797,0
https://openalex.org/W2766428986,2
https://openalex.org/W2902837106,4
https://openalex.org/W1937888283,4
https://openalex.org/W1980931983,4
https://openalex.org/W2907304234,0
https://openalex.org/W2075955141,2
https://openalex.org/W1979978981,4
https://openalex.org/W2497014361,1
https://openalex.org/W2144529104,2
https://openalex.org/W2328143511,3
https://openalex.org/W2098430271,1
https://openalex.org/W2077540949,1
https://openalex.org/W2112689297,4
https://openalex.org/W2790825149,3
https://openalex.org/W2011989793,4
https://openalex.org/W1920136342,2
https://openalex.org/W2989773178,3
https://openalex.org/W2983898801,0
https://openalex.org/W626630810,2
https://openalex.org/W2040347331,4
https://openalex.org/W2083677329,1
https://openalex.org/W2007510319,1
https://openalex.org/W2610559583,1
https://openalex.org/W1965707109,1
https://openalex.org/W2552711925,0
https://openalex.org/W2086636328,4
https://openalex.org/W2087864817,2
https://openalex.org/W2181255710,3
https://openalex.org/W2082545989,4
https://openalex.org/W1987990650,3
https://openalex.org/W2010047416,4
https://openalex.org/W2783055057,3
https://openalex.org/W2168213150,4
https://openalex.org/W1983290110,0
https://openalex.org/W2087931458,0
https://openalex.org/W2073498631,2
https://openalex.org/W2053797489,4
https://openalex.org/W2742471118,0
https://openalex.org/W2148980022,2
https://openalex.org/W2057620464,0
https://openalex.org/W1994999280,0
https://openalex.org/W2074584228,2
https://openalex.org/W2557286791,2
https://openalex.org/W2484005287,1
https://openalex.org/W2093979706,4
https://openalex.org/W2952404414,3
https://openalex.org/W2556341744,0
https://openalex.org/W2754985922,1
https://openalex.org/W2059686693,1
https://openalex.org/W2902917760,2
https://openalex.org/W3006547885,1
https://openalex.org/W1983503722,0
https://openalex.org/W2468576101,4
https://openalex.org/W2046706409,3
https://openalex.org/W2086198325,0
https://openalex.org/W2014067781,1
https://openalex.org/W1981925277,3
https://openalex.org/W2895501275,2
https://openalex.org/W2092494493,2
https://openalex.org/W2335534509,1
https://openalex.org/W2143056578,1
https://openalex.org/W2090870392,4
https://openalex.org/W2004972472,3
https://openalex.org/W1997687307,1
https://openalex.org/W2587167145,0
https://openalex.org/W2049191904,3
https://openalex.org/W2105088884,0
https://openalex.org/W151073356,0
https://openalex.org/W2985446412,2
https://openalex.org/W2046382356,0
https://openalex.org/W2515086381,2
https://openalex.org/W2780333711,4
https://openalex.org/W2547610825,1
https://openalex.org/W2508737193,0
https://openalex.org/W2009270644,3
https://openalex.org/W2126933775,3
https://openalex.org/W2058367432,0
https://openalex.org/W2033499925,3
https://openalex.org/W2770618121,1
https://openalex.org/W2111229642,1
https://openalex.org/W1971921445,3
https://openalex.org/W2099344682,2
https://openalex.org/W2914177511,4
https://openalex.org/W2141671060,4
https://openalex.org/W2087293984,1
https://openalex.org/W2060560723,0
https://openalex.org/W2604334665,3
https://openalex.org/W2022921697,4
https://openalex.org/W2052247033,3
https://openalex.org/W2537813959,3
https://openalex.org/W2065520135,2
https://openalex.org/W2572500700,1
https://openalex.org/W2024032885,1
https://openalex.org/W2951497943,2
https://openalex.org/W2040453351,4
https://openalex.org/W2144732806,0
https://openalex.org/W595773546,3
https://openalex.org/W2084335287,1
https://openalex.org/W2167917782,2
https://openalex.org/W2529151044,1
https://openalex.org/W2064447069,4
https://openalex.org/W1982436123,3
https://openalex.org/W2020040226,3
https://openalex.org/W2284644710,0
https://openalex.org/W3026924192,0
https://openalex.org/W2013776593,2
https://openalex.org/W2883585158,1
https://openalex.org/W2045312468,4
https://openalex.org/W1987324858,2
https://openalex.org/W2011714236,1
https://openalex.org/W2033778885,3
https://openalex.org/W2008698177,2
https://openalex.org/W2558267228,4
https://openalex.org/W2171098903,4
https://openalex.org/W2789103057,2
https://openalex.org/W2890133828,3
https://openalex.org/W2759520145,0
https://openalex.org/W2104444753,1
https://openalex.org/W2116039220,0
https://openalex.org/W2031820336,1
https://openalex.org/W2021167033,4
https://openalex.org/W1991045544,1
https://openalex.org/W2079142947,0
https://openalex.org/W2002770078,3
https://openalex.org/W2035189284,3
https://openalex.org/W2104010831,3
https://openalex.org/W2037154303,2
https://openalex.org/W2549542703,4
https://openalex.org/W2159726740,3
https://openalex.org/W2526991297,3
https://openalex.org/W2133717270,4
https://openalex.org/W2063501626,1
https://openalex.org/W2061309038,2
https://openalex.org/W2891090510,0
https://openalex.org/W2129399226,4
https://openalex.org/W2320791329,4
https://openalex.org/W2029118767,2
https://openalex.org/W2792973160,2
https://openalex.org/W1924717691,2
https://openalex.org/W2739540400,0
https://openalex.org/W755518143,2
https://openalex.org/W2117411297,1
https://openalex.org/W1994542447,3
https://openalex.org/W1987721768,3
https://openalex.org/W1983920882,3
https://openalex.org/W2791684544,1
https://openalex.org/W2009539224,3
https://openalex.org/W2624145942,1
https://openalex.org/W2126691904,2
https://openalex.org/W2915036951,1
https://openalex.org/W2286848419,3
https://openalex.org/W2078414300,0
https://openalex.org/W2537341202,0
https://openalex.org/W2092522525,0
https://openalex.org/W2053030019,4
https://openalex.org/W2023854352,3
https://openalex.org/W2000180785,2
https://openalex.org/W2947070139,0
https://openalex.org/W2776519208,1
https://openalex.org/W1988714375,2
https://openalex.org/W2122326431,3
https://openalex.org/W4255367522,3
https://openalex.org/W2636922291,0
https://openalex.org/W1988471261,4
https://openalex.org/W1998711474,3
https://openalex.org/W2047378268,2
https://openalex.org/W2005543438,0
https://openalex.org/W2115227909,2
